Tree Number	Desc Ui	Term
A01	D001829	Body Regions
A01.111	D059925	Anatomic Landmarks
A01.236	D001940	Breast
A01.236.249	D042361	Mammary Glands, Human
A01.236.500	D009558	Nipples
A01.378	D005121	Extremities
A01.378.100	D000672	Amputation Stumps
A01.378.610	D035002	Lower Extremity
A01.378.610.100	D002081	Buttocks
A01.378.610.250	D005528	Foot
A01.378.610.250.149	D000842	Ankle
A01.378.610.250.300	D005545	Forefoot, Human
A01.378.610.250.300.480	D008684	Metatarsus
A01.378.610.250.300.792	D014034	Toes
A01.378.610.250.300.792.380	D006214	Hallux
A01.378.610.250.510	D006365	Heel
A01.378.610.400	D006615	Hip
A01.378.610.450	D007717	Knee
A01.378.610.500	D007866	Leg
A01.378.610.750	D013848	Thigh
A01.378.800	D034941	Upper Extremity
A01.378.800.075	D001132	Arm
A01.378.800.090	D001365	Axilla
A01.378.800.420	D004550	Elbow
A01.378.800.585	D005542	Forearm
A01.378.800.667	D006225	Hand
A01.378.800.667.430	D005385	Fingers
A01.378.800.667.430.705	D013933	Thumb
A01.378.800.667.572	D008663	Metacarpus
A01.378.800.667.715	D014953	Wrist
A01.378.800.750	D012782	Shoulder
A01.456	D006257	Head
A01.456.313	D004423	Ear
A01.456.505	D005145	Face
A01.456.505.173	D002610	Cheek
A01.456.505.259	D002680	Chin
A01.456.505.420	D005123	Eye
A01.456.505.420.338	D005138	Eyebrows
A01.456.505.420.504	D005143	Eyelids
A01.456.505.420.504.421	D005140	Eyelashes
A01.456.505.580	D005546	Forehead
A01.456.505.631	D009055	Mouth
A01.456.505.631.515	D008046	Lip
A01.456.505.682	D060052	Nasolabial Fold
A01.456.505.733	D009666	Nose
A01.456.505.750	D035421	Parotid Region
A01.456.505.875	D000069259	Superficial Musculoaponeurotic System
A01.456.810	D012535	Scalp
A01.456.830	D019291	Skull Base
A01.456.830.150	D035262	Cranial Fossa, Anterior
A01.456.830.165	D035301	Cranial Fossa, Middle
A01.456.830.200	D003388	Cranial Fossa, Posterior
A01.598	D009333	Neck
A01.598.500	D000069259	Superficial Musculoaponeurotic System
A01.635	D058958	Organs at Risk
A01.719	D010502	Perineum
A01.923	D060726	Torso
A01.923.047	D000005	Abdomen
A01.923.047.025	D034841	Abdominal Cavity
A01.923.047.025.600	D010537	Peritoneum
A01.923.047.025.600.225	D004312	Douglas' Pouch
A01.923.047.025.600.451	D008643	Mesentery
A01.923.047.025.600.451.535	D008646	Mesocolon
A01.923.047.025.600.573	D009852	Omentum
A01.923.047.025.600.678	D010529	Peritoneal Cavity
A01.923.047.025.600.700	D054048	Peritoneal Stomata
A01.923.047.025.750	D012187	Retroperitoneal Space
A01.923.047.050	D034861	Abdominal Wall
A01.923.047.365	D006119	Groin
A01.923.047.412	D007264	Inguinal Canal
A01.923.047.849	D014472	Umbilicus
A01.923.176	D001415	Back
A01.923.176.519	D008161	Lumbosacral Region
A01.923.176.780	D012445	Sacrococcygeal Region
A01.923.600	D010388	Pelvis
A01.923.600.500	D057892	Lesser Pelvis
A01.923.600.600	D017773	Pelvic Floor
A01.923.761	D013909	Thorax
A01.923.761.800	D035423	Thoracic Cavity
A01.923.761.800.500	D008482	Mediastinum
A01.923.761.800.650	D035422	Pleural Cavity
A01.923.761.850	D035441	Thoracic Wall
A01.935	D060053	Transplant Donor Site
A01.941	D019737	Transplants
A01.941.500	D064591	Allografts
A01.941.750	D064592	Autografts
A01.941.812	D064594	Bone-Patellar Tendon-Bone Grafts
A01.941.843	D064595	Composite Tissue Allografts
A01.941.875	D064593	Heterografts
A01.941.937	D064596	Isografts
A01.947	D061028	Trigger Points
A01.960	D014781	Viscera
A02	D009141	Musculoskeletal System
A02.083	D000070606	Aponeurosis
A02.165	D002356	Cartilage
A02.165.257	D051472	Elastic Cartilage
A02.165.257.250	D004425	Ear Cartilage
A02.165.257.625	D007817	Laryngeal Cartilages
A02.165.257.625.083	D001193	Arytenoid Cartilage
A02.165.257.625.211	D003413	Cricoid Cartilage
A02.165.257.625.411	D004825	Epiglottis
A02.165.257.625.870	D013957	Thyroid Cartilage
A02.165.308	D051445	Fibrocartilage
A02.165.308.410	D007403	Intervertebral Disc
A02.165.308.410.250	D000070616	Annulus Fibrosus
A02.165.308.410.500	D000070614	Nucleus Pulposus
A02.165.308.538	D000072600	Meniscus
A02.165.308.538.500	D008592	Menisci, Tibial
A02.165.308.575	D053401	Palmar Plate
A02.165.308.650	D000069262	Plantar Plate
A02.165.308.800	D051478	Triangular Fibrocartilage
A02.165.407	D051457	Hyaline Cartilage
A02.165.407.150	D002358	Cartilage, Articular
A02.165.407.325	D066186	Costal Cartilage
A02.165.407.500	D007817	Laryngeal Cartilages
A02.165.407.500.083	D001193	Arytenoid Cartilage
A02.165.407.500.211	D003413	Cricoid Cartilage
A02.165.407.500.411	D004825	Epiglottis
A02.165.407.500.870	D013957	Thyroid Cartilage
A02.165.407.550	D055171	Nasal Cartilages
A02.340	D005205	Fascia
A02.340.424	D005206	Fascia Lata
A02.340.800	D058475	Tenon Capsule
A02.513	D008022	Ligaments
A02.513.170	D001956	Broad Ligament
A02.513.514	D008023	Ligaments, Articular
A02.513.514.100	D016118	Anterior Cruciate Ligament
A02.513.514.162	D017885	Collateral Ligaments
A02.513.514.162.250	D000070637	Collateral Ligament, Ulnar
A02.513.514.162.500	D017844	Lateral Ligament, Ankle
A02.513.514.162.600	D017888	Medial Collateral Ligament, Knee
A02.513.514.287	D017843	Ligamentum Flavum
A02.513.514.350	D017846	Longitudinal Ligaments
A02.513.514.475	D017847	Patellar Ligament
A02.513.514.538	D000069262	Plantar Plate
A02.513.514.600	D016119	Posterior Cruciate Ligament
A02.513.514.800	D000069593	Round Ligament of Femur
A02.513.901	D000069590	Round Ligaments
A02.513.901.500	D000069593	Round Ligament of Femur
A02.513.901.750	D000069592	Round Ligament of Liver
A02.513.901.875	D012404	Round Ligament of Uterus
A02.633	D009132	Muscles
A02.633.567	D018482	Muscle, Skeletal
A02.633.567.050	D000009	Abdominal Muscles
A02.633.567.050.375	D000071596	Abdominal Oblique Muscles
A02.633.567.050.750	D017773	Pelvic Floor
A02.633.567.050.800	D017568	Rectus Abdominis
A02.633.567.175	D064131	Back Muscles
A02.633.567.175.500	D064169	Intermediate Back Muscles
A02.633.567.175.750	D064170	Paraspinal Muscles
A02.633.567.175.875	D064171	Superficial Back Muscles
A02.633.567.300	D057645	Deltoid Muscle
A02.633.567.400	D005152	Facial Muscles
A02.633.567.425	D000071976	Gracilis Muscle
A02.633.567.450	D000070633	Hamstring Muscles
A02.633.567.500	D007821	Laryngeal Muscles
A02.633.567.600	D008410	Masticatory Muscles
A02.633.567.600.500	D008406	Masseter Muscle
A02.633.567.600.700	D011626	Pterygoid Muscles
A02.633.567.600.850	D013703	Temporal Muscle
A02.633.567.650	D009334	Neck Muscles
A02.633.567.700	D009801	Oculomotor Muscles
A02.633.567.750	D010156	Palatal Muscles
A02.633.567.775	D010369	Pectoralis Muscles
A02.633.567.800	D010609	Pharyngeal Muscles
A02.633.567.800.360	D049631	Esophageal Sphincter, Upper
A02.633.567.800.680	D055158	Velopharyngeal Sphincter
A02.633.567.825	D016658	Psoas Muscles
A02.633.567.850	D052097	Quadriceps Muscle
A02.633.567.900	D012132	Respiratory Muscles
A02.633.567.900.300	D003964	Diaphragm
A02.633.567.900.500	D007366	Intercostal Muscles
A02.633.567.912	D017006	Rotator Cuff
A02.633.567.950	D013198	Stapedius
A02.633.567.975	D013719	Tensor Tympani
A02.633.570	D009130	Muscle, Smooth
A02.633.570.210	D049630	Esophageal Sphincter, Lower
A02.633.570.491	D009131	Muscle, Smooth, Vascular
A02.633.570.500	D009215	Myometrium
A02.633.580	D009206	Myocardium
A02.633.580.680	D010210	Papillary Muscles
A02.835	D012863	Skeleton
A02.835.232	D001842	Bone and Bones
A02.835.232.022	D000069343	Bone-Implant Interface
A02.835.232.043	D050281	Bones of Lower Extremity
A02.835.232.043.300	D005529	Foot Bones
A02.835.232.043.300.492	D008682	Metatarsal Bones
A02.835.232.043.300.710	D013639	Tarsal Bones
A02.835.232.043.300.710.300	D002111	Calcaneus
A02.835.232.043.300.710.780	D013628	Talus
A02.835.232.043.300.800	D050277	Toe Phalanges
A02.835.232.043.650	D007867	Leg Bones
A02.835.232.043.650.247	D005269	Femur
A02.835.232.043.650.247.343	D005270	Femur Head
A02.835.232.043.650.247.510	D005272	Femur Neck
A02.835.232.043.650.321	D005360	Fibula
A02.835.232.043.650.624	D010329	Patella
A02.835.232.043.650.883	D013977	Tibia
A02.835.232.043.825	D010384	Pelvic Bones
A02.835.232.043.825.108	D000077	Acetabulum
A02.835.232.043.825.434	D007085	Ilium
A02.835.232.043.825.548	D007512	Ischium
A02.835.232.043.825.781	D011630	Pubic Bone
A02.835.232.087	D001133	Bones of Upper Extremity
A02.835.232.087.090	D050280	Arm Bones
A02.835.232.087.090.400	D006811	Humerus
A02.835.232.087.090.400.400	D058430	Humeral Head
A02.835.232.087.090.700	D011884	Radius
A02.835.232.087.090.850	D014457	Ulna
A02.835.232.087.090.850.600	D056740	Olecranon Process
A02.835.232.087.227	D002968	Clavicle
A02.835.232.087.319	D050276	Hand Bones
A02.835.232.087.319.150	D002348	Carpal Bones
A02.835.232.087.319.150.150	D051224	Capitate Bone
A02.835.232.087.319.150.400	D051225	Hamate Bone
A02.835.232.087.319.150.500	D012667	Lunate Bone
A02.835.232.087.319.150.600	D051220	Pisiform Bone
A02.835.232.087.319.150.750	D021361	Scaphoid Bone
A02.835.232.087.319.150.800	D051222	Trapezium Bone
A02.835.232.087.319.150.805	D051223	Trapezoid Bone
A02.835.232.087.319.150.831	D051221	Triquetrum Bone
A02.835.232.087.319.350	D050278	Finger Phalanges
A02.835.232.087.319.550	D050279	Metacarpal Bones
A02.835.232.087.783	D012540	Scapula
A02.835.232.087.783.261	D000174	Acromion
A02.835.232.087.783.356	D000070597	Coracoid Process
A02.835.232.087.783.450	D061165	Glenoid Cavity
A02.835.232.169	D018483	Diaphyses
A02.835.232.251	D004838	Epiphyses
A02.835.232.251.352	D006132	Growth Plate
A02.835.232.409	D006928	Hyoid Bone
A02.835.232.570	D000070602	Rib Cage
A02.835.232.570.500	D012272	Ribs
A02.835.232.570.500.150	D057070	Cervical Rib
A02.835.232.570.750	D013249	Sternum
A02.835.232.570.750.442	D008371	Manubrium
A02.835.232.570.750.825	D014989	Xiphoid Bone
A02.835.232.730	D012716	Sesamoid Bones
A02.835.232.730.500	D010329	Patella
A02.835.232.781	D012886	Skull
A02.835.232.781.175	D055762	Cranial Fontanelles
A02.835.232.781.200	D003393	Cranial Sutures
A02.835.232.781.292	D005004	Ethmoid Bone
A02.835.232.781.324	D005147	Facial Bones
A02.835.232.781.324.502	D007568	Jaw
A02.835.232.781.324.502.125	D000539	Alveolar Process
A02.835.232.781.324.502.125.800	D020390	Tooth Socket
A02.835.232.781.324.502.320	D003724	Dental Arch
A02.835.232.781.324.502.632	D008334	Mandible
A02.835.232.781.324.502.632.130	D002680	Chin
A02.835.232.781.324.502.632.600	D008335	Mandibular Condyle
A02.835.232.781.324.502.645	D008437	Maxilla
A02.835.232.781.324.502.660	D021362	Palate, Hard
A02.835.232.781.324.665	D009295	Nasal Bone
A02.835.232.781.324.690	D009915	Orbit
A02.835.232.781.324.948	D014420	Turbinates
A02.835.232.781.324.971	D055172	Vomer
A02.835.232.781.324.995	D015050	Zygoma
A02.835.232.781.375	D005624	Frontal Bone
A02.835.232.781.572	D009777	Occipital Bone
A02.835.232.781.572.434	D005539	Foramen Magnum
A02.835.232.781.651	D010294	Parietal Bone
A02.835.232.781.670	D056739	Pterygopalatine Fossa
A02.835.232.781.750	D019291	Skull Base
A02.835.232.781.750.150	D035262	Cranial Fossa, Anterior
A02.835.232.781.750.165	D035301	Cranial Fossa, Middle
A02.835.232.781.750.400	D003388	Cranial Fossa, Posterior
A02.835.232.781.802	D013100	Sphenoid Bone
A02.835.232.781.802.662	D012658	Sella Turcica
A02.835.232.781.885	D013701	Temporal Bone
A02.835.232.781.885.444	D008416	Mastoid
A02.835.232.781.885.681	D010579	Petrous Bone
A02.835.232.834	D013131	Spine
A02.835.232.834.151	D002574	Cervical Vertebrae
A02.835.232.834.151.383	D001368	Axis, Cervical Vertebra
A02.835.232.834.151.383.668	D009809	Odontoid Process
A02.835.232.834.151.500	D001270	Cervical Atlas
A02.835.232.834.229	D003050	Coccyx
A02.835.232.834.432	D007403	Intervertebral Disc
A02.835.232.834.432.250	D000070616	Annulus Fibrosus
A02.835.232.834.432.500	D000070614	Nucleus Pulposus
A02.835.232.834.519	D008159	Lumbar Vertebrae
A02.835.232.834.717	D012447	Sacrum
A02.835.232.834.803	D013115	Spinal Canal
A02.835.232.834.803.350	D004824	Epidural Space
A02.835.232.834.892	D013904	Thoracic Vertebrae
A02.835.583	D007596	Joints
A02.835.583.032	D000173	Acromioclavicular Joint
A02.835.583.097	D001268	Atlanto-Axial Joint
A02.835.583.101	D001269	Atlanto-Occipital Joint
A02.835.583.156	D002061	Bursa, Synovial
A02.835.583.192	D002358	Cartilage, Articular
A02.835.583.290	D004551	Elbow Joint
A02.835.583.378	D033023	Foot Joints
A02.835.583.378.062	D000843	Ankle Joint
A02.835.583.378.531	D008683	Metatarsophalangeal Joint
A02.835.583.378.531.500	D000069262	Plantar Plate
A02.835.583.378.831	D013640	Tarsal Joints
A02.835.583.378.831.780	D013380	Subtalar Joint
A02.835.583.378.900	D014033	Toe Joint
A02.835.583.378.900.500	D000069262	Plantar Plate
A02.835.583.405	D050823	Hand Joints
A02.835.583.405.174	D050824	Carpal Joints
A02.835.583.405.200	D052737	Carpometacarpal Joints
A02.835.583.405.350	D005384	Finger Joint
A02.835.583.405.500	D008662	Metacarpophalangeal Joint
A02.835.583.405.500.900	D053401	Palmar Plate
A02.835.583.405.930	D014955	Wrist Joint
A02.835.583.405.930.800	D051478	Triangular Fibrocartilage
A02.835.583.411	D006621	Hip Joint
A02.835.583.411.500	D000069593	Round Ligament of Femur
A02.835.583.443	D017746	Joint Capsule
A02.835.583.443.800	D013583	Synovial Membrane
A02.835.583.443.800.800	D013582	Synovial Fluid
A02.835.583.475	D007719	Knee Joint
A02.835.583.475.590	D008592	Menisci, Tibial
A02.835.583.475.650	D057071	Patellofemoral Joint
A02.835.583.512	D008023	Ligaments, Articular
A02.835.583.512.100	D016118	Anterior Cruciate Ligament
A02.835.583.512.162	D017885	Collateral Ligaments
A02.835.583.512.162.250	D000070637	Collateral Ligament, Ulnar
A02.835.583.512.162.500	D017844	Lateral Ligament, Ankle
A02.835.583.512.162.600	D017888	Medial Collateral Ligament, Knee
A02.835.583.512.287	D017843	Ligamentum Flavum
A02.835.583.512.350	D017846	Longitudinal Ligaments
A02.835.583.512.475	D017847	Patellar Ligament
A02.835.583.512.538	D000069262	Plantar Plate
A02.835.583.512.600	D016119	Posterior Cruciate Ligament
A02.835.583.512.900	D053401	Palmar Plate
A02.835.583.512.950	D000069593	Round Ligament of Femur
A02.835.583.656	D011631	Pubic Symphysis
A02.835.583.707	D012446	Sacroiliac Joint
A02.835.583.748	D012785	Shoulder Joint
A02.835.583.781	D013247	Sternoclavicular Joint
A02.835.583.790	D013248	Sternocostal Joints
A02.835.583.861	D013704	Temporomandibular Joint
A02.835.583.861.900	D019224	Temporomandibular Joint Disc
A02.835.583.979	D021801	Zygapophyseal Joint
A02.880	D013710	Tendons
A02.880.176	D000125	Achilles Tendon
A02.880.307	D000070632	Hamstring Tendons
A02.880.438	D017847	Patellar Ligament
A02.880.700	D017006	Rotator Cuff
A03	D004064	Digestive System
A03.159	D001659	Biliary Tract
A03.159.183	D001652	Bile Ducts
A03.159.183.079	D017734	Bile Ducts, Extrahepatic
A03.159.183.079.300	D003135	Common Bile Duct
A03.159.183.079.300.950	D014670	Ampulla of Vater
A03.159.183.079.300.950.600	D009803	Sphincter of Oddi
A03.159.183.079.450	D003549	Cystic Duct
A03.159.183.079.600	D006500	Hepatic Duct, Common
A03.159.183.158	D001653	Bile Ducts, Intrahepatic
A03.159.183.158.125	D001648	Bile Canaliculi
A03.159.439	D005704	Gallbladder
A03.556	D041981	Gastrointestinal Tract
A03.556.124	D007422	Intestines
A03.556.124.369	D007413	Intestinal Mucosa
A03.556.124.369.290	D020895	Enterocytes
A03.556.124.369.320	D020397	Goblet Cells
A03.556.124.369.700	D019879	Paneth Cells
A03.556.124.526	D007420	Intestine, Large
A03.556.124.526.070	D001003	Anal Canal
A03.556.124.526.209	D002432	Cecum
A03.556.124.526.209.290	D001065	Appendix
A03.556.124.526.356	D003106	Colon
A03.556.124.526.356.333	D044682	Colon, Ascending
A03.556.124.526.356.500	D044683	Colon, Descending
A03.556.124.526.356.668	D012809	Colon, Sigmoid
A03.556.124.526.356.834	D044684	Colon, Transverse
A03.556.124.526.767	D012007	Rectum
A03.556.124.684	D007421	Intestine, Small
A03.556.124.684.124	D004386	Duodenum
A03.556.124.684.124.236	D014670	Ampulla of Vater
A03.556.124.684.124.236.572	D009803	Sphincter of Oddi
A03.556.124.684.124.322	D002011	Brunner Glands
A03.556.124.684.249	D007082	Ileum
A03.556.124.684.249.400	D007080	Ileocecal Valve
A03.556.124.684.249.612	D008467	Meckel Diverticulum
A03.556.124.684.500	D007583	Jejunum
A03.556.249	D041741	Lower Gastrointestinal Tract
A03.556.249.124	D007082	Ileum
A03.556.249.124.400	D007080	Ileocecal Valve
A03.556.249.124.612	D008467	Meckel Diverticulum
A03.556.249.249	D007420	Intestine, Large
A03.556.249.249.070	D001003	Anal Canal
A03.556.249.249.209	D002432	Cecum
A03.556.249.249.209.290	D001065	Appendix
A03.556.249.249.356	D003106	Colon
A03.556.249.249.356.333	D044682	Colon, Ascending
A03.556.249.249.356.500	D044683	Colon, Descending
A03.556.249.249.356.668	D012809	Colon, Sigmoid
A03.556.249.249.356.834	D044684	Colon, Transverse
A03.556.249.249.767	D012007	Rectum
A03.556.249.750	D007583	Jejunum
A03.556.500	D009055	Mouth
A03.556.500.379	D003817	Dentition
A03.556.500.760	D012469	Salivary Glands
A03.556.500.760.464	D010306	Parotid Gland
A03.556.500.760.640	D018987	Salivary Ducts
A03.556.500.760.650	D012470	Salivary Glands, Minor
A03.556.500.760.687	D013361	Sublingual Gland
A03.556.500.760.812	D013363	Submandibular Gland
A03.556.500.760.906	D054838	von Ebner Glands
A03.556.500.885	D014059	Tongue
A03.556.500.885.431	D008035	Lingual Frenum
A03.556.500.885.779	D013650	Taste Buds
A03.556.750	D010614	Pharynx
A03.556.875	D041742	Upper Gastrointestinal Tract
A03.556.875.249	D004386	Duodenum
A03.556.875.249.160	D014670	Ampulla of Vater
A03.556.875.249.160.572	D009803	Sphincter of Oddi
A03.556.875.249.322	D002011	Brunner Glands
A03.556.875.500	D004947	Esophagus
A03.556.875.500.180	D000071041	Esophageal Mucosa
